CMO_NUMSTATES	CMO_SIZE	LEVEL	LOCALE15	PVI2017	PVI2014	RLAPROF_1516	MTHPROF_1516	ess_strength	prog_strength	SD_lv_PVI_2014	SD_lv_PVI_2017	POP_DENSE_SD	PCT_AGE65_SD	PCT_WHITE_SD	PCT_HSONLY_SD	PCT_BA_SD	PCT_UNEMPLOYED_SD	MEDIAN_INCOME	PER_CAPITA_INCOME	Gini Index	PCT_POVERTY_SD	PCT_CHILDPOV_SD	PCT_FROMABROAD_SD	PCT_FOREIGN_SD	PCT_NONCITIZEN_SD	PCT_NOINSURANCE_SD	close_rate15	close_rate16	MEMBER	TITLEI	FTE	YEAR_CLOSED	PCTETH	AGE	PCTFRL	PLACE	PROG_COUNT	RIT_COUNT	ESS_COUNT	ESS_STR	PROG_STR	RIT_STR	NUMWORDS	PROG_NORM	ESS_NORM	RIT_NORM	PCT_CHILDPOV_SAIPE16	high_ess	high_prog	high_both	low_both
		N	City (large)	-11.0	-13.0			0.10606060606060606	0.07575757575757576	-13.0	-11.0																1.0	0.0	246.0	Yes	12.5	2015.0		5.0		City	0	4	4	-1.9407654356312176	-6.0	-1.9395192526186185	349	0.0	0.8917993098403292	0.8308236252052102		1	0	0	0
		2	Suburb (large)	13.0	10.0	14.0	19.0			3.6219512195121952	5.158536585365853	354.699	19.46	78.55	35.91	13.07	9.55	44146.0	21669.0	0.4359	13.03	27.2	0.59	9.87	5.56	15.7	0.0	0.006024096385542169	181.0	Yes	9.0		0.7735849056603774	13.0	0.8364779874213837	Suburb	0	3	2	-2.256477206241677	-6.0	-2.0803859471859956	361	0.0	0.8224385634547214	0.8020005904139186	0.23986700730191518	1	0	0	0
		1	Suburb (large)	-1.0	2.0	39.0	54.0			2.0	-1.0																0.0	0.0	128.0	Yes	11.08		0.016129032258064516	3.0	0.717741935483871	Suburb	0	4	1	-2.2174839442139063	-6.0	-1.6127838567197355	165	0.0	0.8310052436042329	0.8976776513642148		1	0	0	0
5.0		3	City (midsize)	13.0	13.0	59.0	20.0	0.0	0.10526315789473684	12.805970149253733	12.805970149253733	288.1205	14.84	47.23	32.82	14.93	7.06	40815.0	25206.0	0.5147	17.23	34.06	0.18	2.28	1.23	14.47	0.0	0.0	115.0	NaN	-1.0		0.5906735751295337	1.0	0.41450777202072536	City	0	1	1	-1.9294189257142929	-6.0	-1.9344984512435677	86	0.0	0.8942920974712364	0.8318509420820469	0.362072185646916	1	0	0	0
4.0	13264.0	4	City (large)	-14.0	-15.0	14.0	14.0	0.17209908735332466	0.13363754889178614	-15.0	-14.0																0.0	0.0	263.0	Yes	-1.0		0.5714285714285714	14.0	0.0	City	0	3	1	-2.294466226161593	-6.0	-1.8151348166368135	197	0.0	0.8140925117031248	0.8562741899168281		1	0	0	0
		1	City (large)			50.0	50.0			-19.33333333333333	-21.7																0.037037037037037035	0.0					0.9800918836140888	-1.0		City	0	3	3	-1.765916793966632	-6.0	-1.765916793966632	175	0.0	0.9302129308051584	0.8663447944989687		1	0	0	0
1.0	1576.0	1	City (large)	-38.0	-36.0	20.0	15.0	0.6301369863013698	0.0273972602739726	-27.174789915966386	-29.12605042016807	11938.74	11.24	48.68	22.95	21.79	10.94	50434.0	30846.0	0.5268	17.63	32.08	0.82	20.86	11.89	14.7	0.013445378151260505	0.00847457627118644	234.0	Yes	14.0		0.9956172388604821	3.0	0.16508400292184075	City	0	14	14	-1.4482645146971886	-6.0	-1.4449365713482611	393	0.0	1.0	0.9320212423794202	0.26563276132495833	1	0	0	0
1.0	12821.0	4	City (large)	-19.0	-12.0	75.0	78.0			-8.916666666666666	-13.75																0.0	0.0	558.0	Yes	36.23		0.9942196531791907	4.0	0.684971098265896	City	0	2	2	-2.1156105116742996	-6.0	-2.1156105116742996	261	0.0	0.8533864722297864	0.7947932171531733		1	0	0	0
		4	City (large)	-26.0	-24.0	12.0	7.0			-21.951612903225808	-24.112903225806452	7671.9980000000005	12.29	30.26	29.58	15.68	11.41	44262.0	27129.0	0.5156	18.27	33.34	0.67	7.81	4.81	9.03	0.032085561497326213	0.027624309392265192	460.0	Yes	30.5		1.0	13.0	0.8744186046511628	City	0	1	7	-1.9590413923210934	-6.0	-2.806179973983887	640	0.0	0.8877841475469823	0.6534943267441812	0.3086204765810199	1	0	0	0
		1	City (large)	-7.0	-13.0	44.0	34.0	0.1	0.3	-3.0444444444444443	-0.0380952380952381	1296.845	13.09	71.06	27.19	20.05	7.89	51681.0	28727.0	0.4804	12.08	22.42	1.04	16.12	8.28	15.06	0.021604938271604937	0.012578616352201259	205.0	Yes	15.0		0.9952153110047847	11.0	0.6985645933014354	City	0	1	1	-2.1172712956557644	-6.0	-2.1172712956557644	131	0.0	0.8530216039313477	0.7944534006008961	0.18916780330850208	1	0	0	0
