Category,Program,Publisher
Math K-8,enVision Florida Mathematics,Savvas Learning Company (f/k/a Pearson)
Math K-8,enVision Mathematics Common Core,Savvas Learning Company (f/k/a Pearson)
Math K-8,enVisionMATH California Common Core,Savvas Learning Company (f/k/a Pearson)
ELA HS,Developing Core Literacy Proficiencies,Odell Education
ELA HS,Foundations of Language and Literature; Advanced Language and Literature,"Bedford, Freeman, & Worth High School Publishers"
ELA HS,Holt McDougal Literature,Houghton Mifflin Harcourt
ELA HS,Into Literature,Houghton Mifflin Harcourt
ELA HS,Mirrors & Windows: Connecting with Literature,EMC School Publishing
ELA HS,MyPerspectives,Savvas Learning Company (f/k/a Pearson)
ELA HS,Paths to College and Career English Language Arts 9-12,John Wiley & Sons
ELA HS,Pearson Literature,Savvas Learning Company (f/k/a Pearson)
ELA HS,StudySync,McGraw-Hill Education
ELA HS,StudySync ELA,McGraw-Hill Education
Math HS,"AMSCO Math: Algebra 1, Geometry, Algebra 2",Perfection Learning
Math HS,Agile Mind,Agile Mind
Math HS,Agile Mind Integrated Mathematics,Agile Mind
Math HS,Big Ideas Integrated,"Big Ideas Learning, LLC"
Math HS,"Big Ideas Math: A Common Core Curriculum - Algebra 1, Geometry, Algebra 2","Big Ideas Learning, LLC"
Math HS,CCSS Mathematics Integrated Pathway,Walch Education
Math HS,CME Traditional,Savvas Learning Company (f/k/a Pearson)
Math HS,CORD: Learning in Context,CORD Communications
Math HS,CPM,CPM Educational Program (CPM)
Math HS,CPM Integrated,CPM Educational Program (CPM)
Math HS,CPM Traditional,CPM Educational Program (CPM)
Math HS,Carnegie,Carnegie Learning
Math HS,Carnegie Integrated,Carnegie Learning
Math HS,Carnegie Learning Math Solution Integrated,Carnegie Learning
Math HS,Carnegie Learning Math Solution Traditional,Carnegie Learning
Math HS,Carnegie Traditional,Carnegie Learning
Math HS,Core-Plus Mathematics,McGraw-Hill Education
Math HS,"Discovering Mathematics: Algebra, Geometry, Advanced Algebra",Kendall Hunt Publishing Company
Math HS,Eureka Math,Great Minds
Math HS,FuelEd Florida Summit Math,Fuel Education
Math HS,Glencoe,McGraw-Hill Education
Math HS,"Glencoe Algebra 1, Geometry, Algebra 2",McGraw-Hill Education
Math HS,Glencoe Traditional,McGraw-Hill Education
Math HS,HMH,Houghton Mifflin Harcourt
Math HS,HMH Integrated,Houghton Mifflin Harcourt
Math HS,HMH Into AGA,Houghton Mifflin Harcourt
Math HS,HMH Traditional,Houghton Mifflin Harcourt
Math HS,Holt McDougal Larson Traditional Series,Houghton Mifflin Harcourt
Math HS,Interactive Mathematics Program - Integrated,Activate Learning
Math HS,Kendall Hunt's Illustrative Mathematics Traditional,Kendall Hunt Publishing Company
Math HS,LearnZillion Illustrative Mathematics Traditional,LearnZillion
Math HS,Math Techbook,Discovery Education
Math HS,"Math Techbook Integrated Math I, II, and III",Discovery Education
Math HS,Math Techbook Traditional Series,Discovery Education
Math HS,Mathematics Vision Project,Mathematics Vision Project
Math HS,Mathematics Vision Project Integrated,Mathematics Vision Project
Math HS,Mathematics Vision Project Traditional,Mathematics Vision Project
Math HS,"Meaningful Math Algebra 1, Geometry, Algebra 2 Traditional",Activate Learning
Math HS,Pearson Integrated,Savvas Learning Company (f/k/a Pearson)
Math HS,Pearson Traditional,Savvas Learning Company (f/k/a Pearson)
Math HS,Reveal Math,McGraw-Hill Education
Math HS,Reveal Math Integrated,McGraw-Hill Education
Math HS,Reveal Math Traditional,McGraw-Hill Education
Math HS,"Saxon Algebra I, Geometry, Algebra II",Houghton Mifflin Harcourt
Math HS,SpringBoard Integrated,College Board
Math HS,SpringBoard Traditional,College Board
Math HS,"Walch Traditional, Florida Edition",Walch Education
Math HS,eMathInstruction Common Core for High School Mathematics,eMath Instruction Inc.
Science K-5,Amplify Science,Amplify
Science 6-8,Bring Science Alive!,Teachers' Curriculum Institute
Science 6-8,Bring Science Alive! Discipline Program,Teachers' Curriculum Institute
Science 6-8,Bring Science Alive! Integrated Program,Teachers' Curriculum Institute
Science 6-8,Discovery Science Techbook for California NGSS Middle School,Discovery Education
Science 6-8,FOSS Next Generation,"School Specialty, Inc./Delta Education"
Science 6-8,HMH Science Dimensions® Grades 6-8,Houghton Mifflin Harcourt
Science 6-8,IQWST Integrated Edition,Activate Learning
Science 6-8,Issues and Science,SEPUP/Lab-Aids
Science 6-8,STEMscopes NGSS 3D 6-8,Accelerate Learning
Science 6-8,Science and Technology Concepts™ Middle School,Carolina Biological Supply Company
Science 6-8,SmartNGSS,Newton Learning
